"Genere","Titolo","Autore","Editore","Serie","Lingua","Argomento","Prestito","ISBN","Note 1","Note 2","Posizione","Data","Inventario","Npag","Lvl bibliog.","Dewey","Paese pubblicaz.","Luogo editore","Curatore","Tipo documento","Traduzione","Descrizione","Identificat.","PrleChv","Prezzo","Dispnbl","Apprzm","Custom Field 1","Custom Field 2","Custom Field 3","Custom Field 4","Custom Field 5","Custom Field 6","Custom Field 7","Custom Field 8","Custom Field 9","Custom Field 10"
"","The Mammoth Book of Great British Humour","Michael Powell","Little, Brown Book Group","Mammoth Books","","Libri in inglese/Music & Entertainment/Humor/Humor - General","P","9781849010535","Note","","","2010","","","","","","","","","","576 p.; fisico","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Romanzi italiani » Racconti e antologie letterarie","Il sistema periodico","Primo Levi","Giulio Einaudi Editore","Einaudi tascabili. Scrittori","Italiano","","","9788806219505","","","","02/02/2014","","266","Monografia","853 (12.) NARRATIVA ITALIANA","ITALIA","","","Testo","","Tascabile","","","","No","0","","","","","","","","","",""
"","Machines Like Me: and people like you","Ian McEwan","London Jonathan Cape, 2019","","INGLESE","","","9781787331662","","","","","","","Monografia","","GRAN BRETAGNA","","","Testo","","305 p. ; 24 cm","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Romanzi stranieri","Norwegian wood. Tokyo blues","Haruki Murakami","Giulio Einaudi Editore","Super ET","Italiano","Narrativa Narrativa moderna e contemporanea (dopo il 1945)","","9788806216467","","","","18/03/2013","","399","Monografia","895.635 (21.) NARRATIVA GIAPPONESE. 1945-1999","ITALIA","","","Libro: Copertina morbida","G. Amitrano","Tascabile","","","","No","0","","","","","","","","","",""
"Informatica e Web » Sicurezza informatica","L'arte dell'inganno. I consigli dell'hacker più famoso del mondo","Kevin D. Mitnick","Casa editrice Feltrinelli","Universale economica. Saggi","Italiano","Informatica Sicurezza informatica","","9788807882463","","","","24/09/2013","","324","Monografia","005.8 (22.) SICUREZZA DEI DATI","ITALIA","","","Libro: Copertina morbida","G. Carlotti","Tascabile","","","","No","0","","","","","","","","","",""
"Politica e Società » Comunicazione e Media » Studi sulla comunicazione » Politica e Istituzioni » Pr","Dieci ragioni per cancellare subito i tuoi account social","Jaron Lanier","Il Saggiatore","La piccola cultura","Italiano","Società, scienze sociali e politica Società e cultura: argom","","9788842825166","","","","21/06/2018","","211","Monografia","302.231 (23.) MEDIA DIGITALI","ITALIA","","","Libro: Copertina morbida","F. Mastruzzo","Brossura","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Scienza e Natura » Scienza e tecnologia » Libri per Conoscere » Cultura generale","Chi era Albert Einstein?","Jess M. Brallier","Nord Sud","Narrativa","Italiano","Bambini e ragazzi Non fiction per bambini e ragazzi","","9788865268421","","","","15/02/2018","","105","Monografia","530.092 (23.) FISICA. Biografia","ITALIA","","","Libro: Copertina morbida","C. Bombari","Brossura","","","","No","0","","","","","","","","","",""
"","Se questo è un uomo","Primo Levi","Giulio Einaudi Editore","","","","","9788806354107","","","","","","","","","","","","","","","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Classici » 10-12 anni","La fattoria degli animali","George Orwell","Arnoldo Mondadori Editore","Oscar junior","Italiano","Bambini e ragazzi Narrativa e storie vere per bambini e raga","","9788804663089","","","","01/01/2016","","198","Monografia","","ITALIA","","","Libro: Copertina morbida","G. Bulla","Tascabile","","","","No","0","","","","","","","","","",""
"Scienza e Tecnica » Biologia » Opere divulgative » Zoologia , Ambiente e Animali » Cani Gatti e altr","La vita segreta delle mucche","Rosamund Young","Garzanti","Saggi","Italiano","Casa, hobby, cucina e tempo libero Natura, vita in campagna ","","9788811675747","","","","05/10/2017","","150","Monografia","636.2 (23.) RUMINANTI E CAMELIDI BOVINI","ITALIA","","","Libro: Copertina rigida","A. Di Gregorio","Rilegato","","","","No","0","","","","","","","","","",""
"Scienza e Tecnica » Astronomia, Spazio e Tempo » Cosmologia e Universo » Opere divulgative » Fisica ","Hawking per tutti. Universo, spazio, tempo","Rudiger Vaas","Libreria Geografica","ATLANTI","Italiano","","","9788869852046","","","","31/10/2017","","128","Monografia","530.092 (21.) FISICA. Persone","ITALIA","","","Libro: Copertina morbida","R. Franceschini","Brossura","","","","No","0","","","","","","","","","",""
"Economia Diritto e Lavoro » Management » Impresa: strategia, innovazione, imprenditorialità¿ » Studi","Silicon valley. Sogna credici realizza. Cosa imparare dalla terra dell'innovazione per farcela in Italia","Eleonora Chioda","Ulrico Hoepli Editore","Business & technology","Italiano","Economia e management Affari e gestione (management)","","9788820389161","","","","16/05/2019","","384","Monografia","","ITALIA","","","Libro: Copertina morbida","","Brossura","","","","No","0","","","","","","","","","",""
"Economia Diritto e Lavoro » Finanze personali e Investimenti , Salute Benessere Self Help » Self Hel","Padre ricco padre povero. Quello che i ricchi insegnano ai figli sul denaro","Robert T. Kiyosaki","Gribaudi","","Italiano","Salute e benessere personale Auto aiuto e valorizzazione per","","9788871527741","","","","24/01/2004","","208","Monografia","","ITALIA","","","Libro","D. Ballarini","Libro","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Narrativa » Narrativa » 10-12 anni , Famiglia Scuola e Università » Libri Scuola","L'amico ritrovato","Fred Uhlman","Loescher","Narrativa scuola Feltrinelli/Loescher","Italiano","Bambini e ragazzi Materiale educativo","","9788820116262","","","","15/06/1986","","144","","","","","","Libro","M. Castagnone","Libro","","","","No","0","","","","","","","","","",""
"Religione","Vangelo. Nuovo testo CEI","AA.VV.","Edizioni Paoline","Vangelo. Nuovo Testamento. Testi","ITALIANO","Scienze umane Religione e fede","","9788821592683","","","","05/2015","","400","Monografia","","ITALIA","","","Libro: Copertina morbida","","391 p. ; 10 cm","","","","No","0","","","","","","","","","",""
"Storia e Biografie » Storia: opere generali","Una questione privata","Beppe Fenoglio","Giulio Einaudi Editore","Einaudi tascabili","Italiano","Narrativa Narrativa moderna e contemporanea (dopo il 1945)","","9788806117856","","","","01/01/1990","","334","Monografia","","ITALIA","","","Libro","","Tascabile","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Narrativa » Narrativa » Racconti » 10-12 anni","L'uomo che sapeva contare","Malba Tahan","Salani","","Italiano","Bambini e ragazzi Narrativa e storie vere per bambini e raga","","9788867158836","","","","15/05/2014","","208","Monografia","","ITALIA","","","Libro: Copertina rigida","L. Zannini","Rilegato","","","","No","0","","","","","","","","","",""
"Gialli Noir e Avventura » Gialli per bambini e ragazzi , Bambini e Ragazzi » Narrativa » Avventura, ","Dieci piccoli indiani","Agatha Christie","Arnoldo Mondadori Editore","Oscar junior","Italiano","Bambini e ragazzi Narrativa e storie vere per bambini e raga","","9788804616986","","","","18/06/2012","","229","Monografia","823.912 (19.) NARRATIVA INGLESE. 1900-1945","ITALIA","","","Libro: Copertina morbida","B. Della Frattina","Tascabile","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Storie vere , Storia e Biografie » Storie vere , Politica e Società » Proble","Nel mare ci sono i coccodrilli. Storia vera di Enaiatollah Akbari","Fabio Geda","Baldini & Castoldi","I tascabili","Italiano","","","9788868520151","","","","08/07/2013","","155","Monografia","","ITALIA","","","Testo","","Tascabile","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Romanzi italiani","L'Arminuta","Donatella Di Pietrantonio","Giulio Einaudi Editore","Super ET","Italiano","","","9788806239848","","","","05/02/2019","","176","Monografia","853.92 (21.) NARRATIVA ITALIANA, 2000-","ITALIA","","","Testo","","Tascabile","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Romanzi italiani","Lessico famigliare","Natalia Ginzburg","Giulio Einaudi Editore","Super ET","Italiano","Narrativa Narrativa moderna e contemporanea (dopo il 1945)","","9788806219291","","","","01/01/2014","","296","Monografia","853.914 (21.) NARRATIVA ITALIANA, 1945-1999","ITALIA","","","Libro","","Tascabile","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Classici italiani","La luna e i falò","Cesare Pavese","Giulio Einaudi Editore","Super ET","Italiano","","","9788806219383","","","","Super ET","","246","Monografia","853.914 (19.) NARRATIVA ITALIANA. 1945-","ITALIA","","","Libro","","Tascabile","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Narrativa » Narrativa » Temi personali e sociali » Autostima e autocoscienza » 1","Wonder","R. J. Palacio","Giunti Editore","Biblioteca Junior","Italiano","Bambini e ragazzi Narrativa e storie vere per bambini e raga","","9788809058347","","","","07/05/2013","","288","Monografia","","ITALIA","","","Libro: Copertina morbida","A. Orcese","Brossura","","","","No","0","","","","","","","","","",""
"Romanzi e Letterature » Fantascienza , Fantasy Horror e Gothic » Fantascienza","Il ritorno dello Jedi. Star Wars","James Kahn","Arnoldo Mondadori Editore","Oscar grandi bestsellers","Italiano","Narrativa Fantasy e fantascienza","","9788804657019","","","","20/10/2015","","204","Monografia","","ITALIA","","","Libro: Copertina morbida","A. Guarnieri","Tascabile","","","","No","0","","","","","","","","","",""
"","Il nome della rosa ","Eco, Umberto","Bompiani","I libri di Umberto Eco","ITALIANO","Narrativa Narrativa di ambientazione storica","","9788845296833","","","","02/2018","","624","Monografia","853.914 (23.) NARRATIVA ITALIANA, 1945-1999","ITALIA","","","Testo","","618 p. ; 21 cm.","","","","No","0","","","","","","","","","",""
"Gialli Noir e Avventura » Gialli per bambini e ragazzi , Bambini e Ragazzi » Narrativa » Avventura, ","La nave del tempo. Ediz. illustrata","Ulysses Moore","Edizioni Piemme","Il battello a vapore. Ulysses Moore","Italiano","Bambini e ragazzi Narrativa e storie vere per bambini e raga","","9788856631715","","","","21/10/2013","","311","Monografia","853.92 (21.) NARRATIVA ITALIANA, 2000-","ITALIA","","","Libro: Copertina rigida","","Rilegato","","","","No","0","","","","","","","","","",""
"Bambini e Ragazzi » Narrativa » Narrativa » Temi personali e sociali » Autostima e autocoscienza » 1","Dragon Boy","Guido Sgardoli","Edizioni Piemme","Il Battello a vapore. One shot","Italiano","Bambini e ragazzi Narrativa e storie vere per bambini e raga","","9788856648348","","","","03/10/2015","","232","Monografia","","ITALIA","","","Libro: Copertina rigida","","Rilegato","","","","No","0","","","","","","","","","",""
"T","1989. Dieci storie per attraversare i muri","M. Reynolds","Orecchio Acerbo","","ITALIANO","","","9788889025833","","","","01/2009","","87","Monografia","808.83 (20.) NARRATIVA. COLLEZIONI, ANTOLOGIE","ITALIA","","","Libro: Copertina morbida","","87 p. : ill. ; 25 cm","","","","No","0","","","","","","","","","",""
